"","order","ngram","freq","prop"
"1",1,"<> and <>",510,0.291762013729977
"2",2,"on and on",3,0.1875
"3",3,"will you be",9,0.642857142857143
"4",4,"in and out",4,0.114285714285714
"5",5,"that <> the",24,0.0830449826989619
"6",6,"i the only",6,0.75
"7",7,"am i the",6,0.153846153846154
"8",8,"more and more",11,0.733333333333333
"9",9,"in love with",15,0.576923076923077
"10",10,"for you to",10,0.131578947368421
"11",11,"just in time",4,0.333333333333333
"12",12,"said in a",14,0.636363636363636
"13",13,"out to for",3,0.0769230769230769
"14",14,"as to what",3,0.176470588235294
"15",15,"me and my",9,0.195652173913043
"16",16,"thanks to for",4,0.142857142857143
"17",17,"one of the",103,0.492822966507177
"18",18,"he and his",8,0.470588235294118
"19",19,"to all of",9,0.195652173913043
"20",20,"would like to",17,0.739130434782609
"21",21,"this was the",10,0.3125
"22",22,"in about a",3,0.428571428571429
"23",23,"with it you",2,0.0714285714285714
"24",24,"to you and",6,0.107142857142857
"25",25,"to <> the",64,0.0727272727272727
"26",26,"at night the",3,0.333333333333333
"27",27,"up up up",5,0.714285714285714
"28",28,"good at it",4,0.4
"29",29,"for the follow",36,0.0554699537750385
"30",30,"are and what",2,0.4
"31",31,"of you to",5,0.106382978723404
"32",32,"for and in",2,0.333333333333333
"33",33,"in need of",5,0.714285714285714
"34",34,"of you the",2,0.0425531914893617
"35",35,"what is your",10,0.196078431372549
"36",36,"all in all",3,0.230769230769231
"37",37,"this or that",3,0.75
"38",38,"from me you",2,0.125
"39",39,"in order to",15,0.789473684210526
"40",40,"with all the",7,0.368421052631579
"41",41,"be with you",4,0.571428571428571
"42",42,"back at you",4,0.25
"43",43,"with and it",2,0.133333333333333
"44",44,"can you <>",7,0.2
"45",45,"made it to",5,0.3125
"46",46,"but for now",3,0.272727272727273
"47",47,"happy <> day",6,0.315789473684211
"48",48,"out and about",3,0.107142857142857
"49",49,"the more you",3,0.142857142857143
"50",50,"to it as",2,0.105263157894737
"51",51,"but just in",2,0.666666666666667
"52",52,"in all it",2,0.125
"53",53,"in only a",2,0.666666666666667
"54",54,"but <> be",2,0.0232558139534884
"55",55,"at and in",2,0.2
"56",56,"is one of",20,0.625
"57",57,"have <> the",8,0.0689655172413793
"58",58,"up to in",2,0.0238095238095238
"59",59,"me not to",5,0.714285714285714
"60",60,"and <> to",50,0.0420521446593776
"61",61,"from now on",3,0.428571428571429
"62",62,"on how to",6,0.428571428571429
"63",63,"me know and",3,0.157894736842105
"64",64,"how great a",2,0.5
"65",65,"you to everyone",5,0.0862068965517241
"66",66,"two and a",3,0.6
"67",67,"the years the",2,0.166666666666667
"68",68,"just so you",3,0.272727272727273
"69",69,"need of a",5,0.625
"70",70,"me one on",2,0.5
"71",71,"you and your",7,0.148936170212766
"72",72,"it comes to",21,0.777777777777778
"73",73,"at me like",3,0.15
"74",74,"to me was",2,0.0266666666666667
"75",75,"in no time",2,0.4
"76",76,"a really good",5,0.357142857142857
"77",77,"said to me",3,0.428571428571429
"78",78,"new to this",2,0.4
"79",79,"the good work",3,0.1875
"80",80,"up the good",4,0.0701754385964912
"81",81,"what will it",2,0.5
"82",82,"was it the",2,0.133333333333333
"83",83,"we <> your",2,0.0571428571428571
"84",84,"what was it",4,0.153846153846154
"85",85,"give it a",9,0.75
"86",86,"like this for",2,0.0769230769230769
"87",87,"in it as",2,0.105263157894737
"88",88,"great as that",2,0.4
"89",89,"all on me",2,0.4
"90",90,"she is and",2,0.0465116279069767
"91",91,"the years i",4,0.333333333333333
"92",92,"a time when",6,0.193548387096774
"93",93,"would <> the",5,0.172413793103448
"94",94,"with them is",2,0.133333333333333
"95",95,"at a time",13,0.144444444444444
"96",96,"my all time",2,0.666666666666667
"97",97,"go on and",3,0.15
"98",98,"in on that",2,0.181818181818182
"99",99,"but because <>",2,0.4
"100",100,"as to how",2,0.117647058823529
"101",101,"the only one",13,0.178082191780822
"102",102,"have it so",2,0.153846153846154
"103",103,"is there a",5,0.227272727272727
"104",104,"go for it",3,0.3
"105",105,"but for what",2,0.181818181818182
"106",106,"for all you",3,0.09375
"107",107,"is it that",4,0.0588235294117647
"108",108,"it there the",2,0.5
"109",109,"of work to",3,0.230769230769231
"110",110,"at what his",2,0.5
"111",111,"how is it",6,0.375
"112",112,"with out a",2,0.666666666666667
"113",113,"thing is i",2,0.666666666666667
"114",114,"what have i",2,1
"115",115,"would that be",2,0.666666666666667
"116",116,"tell you that",6,0.222222222222222
"117",117,"have <> a",6,0.0517241379310345
"118",118,"show you the",2,0.333333333333333
"119",119,"do just that",2,0.666666666666667
"120",120,"but never in",2,0.5
"121",121,"at the the",2,0.00477326968973747
"122",122,"see and do",2,0.333333333333333
"123",123,"there's more to",3,0.6
"124",124,"and see if",5,0.294117647058824
"125",125,"this is the",25,0.145348837209302
"126",126,"come in for",2,0.133333333333333
"127",127,"as of now",2,0.166666666666667
"128",128,"in just a",2,0.5
"129",129,"that in a",7,0.291666666666667
"130",130,"of all time",4,0.121212121212121
"131",131,"to for <>",7,0.538461538461538
"132",132,"come by and",3,0.428571428571429
"133",133,"a for a",2,0.666666666666667
"134",134,"<> you know",8,0.064
"135",135,"in it for",2,0.105263157894737
"136",136,"for <> the",12,0.0326086956521739
"137",137,"when will you",2,0.333333333333333
"138",138,"come in and",3,0.2
"139",139,"if <> a",2,0.0625
"140",140,"for being a",4,0.210526315789474
"141",141,"my love for",3,0.25
"142",142,"what can the",2,0.5
"143",143,"have much of",3,0.5
"144",144,"would love to",12,0.631578947368421
"145",145,"will see that",2,0.142857142857143
"146",146,"good <> you",3,0.0535714285714286
"147",147,"keep up the",6,0.666666666666667
"148",148,"or is it",3,0.375
"149",149,"about that time",3,0.15
"150",150,"it's <> that",5,0.104166666666667
"151",151,"if only i",3,0.428571428571429
"152",152,"as those that",2,0.666666666666667
"153",153,"she and her",2,0.5
"154",154,"and you as",2,0.0416666666666667
"155",155,"love this i",2,0.166666666666667
"156",156,"to an end",7,0.269230769230769
"157",157,"of all the",7,0.212121212121212
"158",158,"what are your",7,0.259259259259259
"159",159,"let go of",4,0.571428571428571
"160",160,"for so long",5,0.555555555555556
"161",161,"you <> be",2,0.015748031496063
"162",162,"don't <> your",2,0.0714285714285714
"163",163,"is that it",6,0.0705882352941176
"164",164,"all of you",6,0.0674157303370786
"165",165,"<> your way",2,0.0408163265306122
"166",166,"it <> me",6,0.0434782608695652
"167",167,"his or her",3,0.6
"168",168,"of the year",20,0.0169061707523246
"169",169,"much of a",6,0.315789473684211
"170",170,"it to you",3,0.0731707317073171
"171",171,"went on to",4,0.285714285714286
"172",172,"all is well",2,0.25
"173",173,"great time at",4,0.307692307692308
"174",174,"be all that",2,0.285714285714286
"175",175,"same to you",3,0.75
"176",176,"to <> his",12,0.0136363636363636
"177",177,"it all and",2,0.0689655172413793
"178",178,"get u a",2,0.666666666666667
"179",179,"have little or",2,0.5
