"","word","freq","start","all","real"
"1","part","0.0408163265306122","1","1","1"
"2","way","0.0340136054421769","2","1","1"
"3","in","0.0340136054421769","3","1","1"
"4","thing","0.0340136054421769","4","1","1"
"5","of","0.0340136054421769","5","1","1"
"6","movie","0.0204081632653061","6","0","0"
"7","and","0.0204081632653061","6","0","0"
"8","no","0.0136054421768707","6","0","0"
"9","ever","0.0136054421768707","6","0","0"
"10","available","0.0136054421768707","6","0","0"
"11","day","0.0136054421768707","6","1","1"
"12","policy","0.0136054421768707","7","0","0"
"13","show","0.0136054421768707","7","0","0"
"14","we've","0.0136054421768707","7","0","0"
"15","<>","0.136054421768707","7","1","1"
"16","time","0.165413533834586","8","5","4"
"17","half","0.037593984962406","13","1","1"
"18","two","0.037593984962406","14","1","1"
"19","of","0.0300751879699248","15","1","1"
"20","day","0.0300751879699248","16","1","1"
"21","step","0.0225563909774436","17","0","0"
"22","in","0.0225563909774436","17","0","0"
"23","round","0.0225563909774436","17","0","0"
"24","song","0.0150375939849624","17","0","0"
"25","three","0.0150375939849624","17","0","0"
"26","book","0.0150375939849624","17","0","0"
"27","few","0.0150375939849624","17","0","0"
"28","place","0.0150375939849624","17","0","0"
"29","punch","0.0150375939849624","17","0","0"
"30","quarter","0.0150375939849624","17","0","0"
"31","thing","0.0150375939849624","17","0","0"
"32","to","0.0150375939849624","17","0","0"
"33","<>","0.0902255639097744","17","2","2"
"34","time","0.094488188976378","19","2","1"
"35","thing","0.0708661417322835","21","0","0"
"36","as","0.0551181102362205","21","1","1"
"37","amount","0.0236220472440945","22","1","1"
"38","exact","0.0236220472440945","23","0","0"
"39","way","0.0236220472440945","23","0","0"
"40","day","0.0236220472440945","23","0","0"
"41","number","0.015748031496063","23","1","1"
"42","name","0.015748031496063","24","0","0"
"43","problems","0.015748031496063","24","0","0"
"44","game","0.015748031496063","24","0","0"
"45","holds","0.015748031496063","24","1","1"
"46","kind","0.015748031496063","25","1","1"
"47","level","0.015748031496063","26","0","0"
"48","period","0.015748031496063","26","0","0"
"49","place","0.015748031496063","26","0","0"
"50","type","0.015748031496063","26","1","1"
"51","<>","0.0551181102362205","27","1","0"
"52","and","0.0485436893203883","28","0","0"
"53","to","0.029126213592233","28","0","0"
"54","that","0.029126213592233","28","0","0"
"55","cup","0.029126213592233","28","0","0"
"56","what","0.0194174757281553","28","0","0"
"57","it","0.0194174757281553","28","0","0"
"58","go","0.0194174757281553","28","1","1"
"59","around","0.0194174757281553","29","0","0"
"60","i","0.0194174757281553","29","0","0"
"61","shares","0.0194174757281553","29","0","0"
"62","as","0.0194174757281553","29","0","0"
"63","but","0.0194174757281553","29","0","0"
"64","for","0.0194174757281553","29","0","0"
"65","in","0.0194174757281553","29","0","0"
"66","is","0.0194174757281553","29","0","0"
"67","needs","0.0194174757281553","29","0","0"
"68","series","0.0194174757281553","29","0","0"
"69","trade","0.0194174757281553","29","0","0"
"70","we","0.0194174757281553","29","0","0"
"71","will","0.0194174757281553","29","0","0"
"72","<>","0.0485436893203883","29","0","0"
"73","year","0.0729166666666667","29","0","0"
"74","york","0.0625","29","1","1"
"75","rules","0.03125","30","1","1"
"76","bill","0.0208333333333333","31","0","0"
"77","ones","0.0208333333333333","31","0","0"
"78","album","0.0208333333333333","31","0","0"
"79","timeline","0.0208333333333333","31","0","0"
"80","book","0.0208333333333333","31","0","0"
"81","england","0.0208333333333333","31","1","1"
"82","<>","0.229166666666667","32","1","0"
"83","important","0.0957446808510638","33","1","1"
"84","part","0.0638297872340425","34","0","0"
"85","beautiful","0.0425531914893617","34","0","0"
"86","famous","0.0319148936170213","34","0","0"
"87","about","0.0212765957446809","34","0","0"
"88","successful","0.0212765957446809","34","0","0"
"89","powerful","0.0212765957446809","34","0","0"
"90","impressive","0.0212765957446809","34","0","0"
"91","dangerous","0.0212765957446809","34","0","0"
"92","significant","0.0212765957446809","34","0","0"
"93","of","0.0212765957446809","34","0","0"
"94","popular","0.0212765957446809","34","0","0"
"95","talented","0.0212765957446809","34","0","0"
"96","<>","0.138297872340426","34","2","1"
"97","before","0.0588235294117647","36","0","0"
"98","that","0.0588235294117647","36","1","1"
"99","i","0.0470588235294118","37","0","0"
"100","when","0.0352941176470588","37","0","0"
"101","has","0.0352941176470588","37","0","0"
"102","with","0.0352941176470588","37","1","1"
"103","of","0.0352941176470588","38","0","0"
"104","my","0.0235294117647059","38","0","0"
"105","the","0.0235294117647059","38","0","0"
"106","so","0.0235294117647059","38","0","0"
"107","for","0.0235294117647059","38","0","0"
"108","off","0.0235294117647059","38","0","0"
"109","<>","0.0588235294117647","38","0","0"
"110","to","0.1","38","0","0"
"111","of","0.1","38","2","2"
"112","i","0.0625","40","0","0"
"113","and","0.0625","40","0","0"
"114","the","0.0375","40","0","0"
"115","he","0.0375","40","0","0"
"116","in","0.0375","40","0","0"
"117","was","0.025","40","0","0"
"118","she","0.025","40","0","0"
"119","that","0.025","40","0","0"
"120","<>","0.0375","40","0","0"
"121","side","0.0921052631578947","40","0","0"
"122","day","0.0789473684210526","40","0","0"
"123","hand","0.0526315789473684","40","0","0"
"124","end","0.0394736842105263","40","0","0"
"125","party","0.0394736842105263","40","0","0"
"126","and","0.0394736842105263","40","0","0"
"127","one","0.0263157894736842","40","0","0"
"128","doesn't","0.0263157894736842","40","0","0"
"129","room","0.0263157894736842","40","0","0"
"130","<>","0.105263157894737","40","0","0"
"131","i","0.0810810810810811","40","1","0"
"132","he","0.0675675675675676","41","1","0"
"133","to","0.0675675675675676","42","1","1"
"134","the","0.0540540540540541","43","1","0"
"135","of","0.0540540540540541","44","0","0"
"136","you","0.0405405405405405","44","0","0"
"137","home","0.0405405405405405","44","0","0"
"138","for","0.0405405405405405","44","0","0"
"139","it","0.027027027027027","44","0","0"
"140","they","0.027027027027027","44","0","0"
"141","in","0.027027027027027","44","0","0"
"142","<>","0.0810810810810811","44","0","0"
"143","to","0.857142857142857","44","0","0"
"144","is","0.5","44","0","0"
"145","awards","1","44","0","0"
"146","of","0.4","44","0","0"
"147","<>","0.222222222222222","44","0","0"
"148","of","0.625","44","0","0"
"149","for","1","44","0","0"
"150","and","0.1875","44","0","0"
"151","<>","0.125","44","0","0"
"152","present","1","44","1","1"
"153","<>","1","45","1","0"
"154","dream","0.227272727272727","46","1","1"
"155","people","0.0909090909090909","47","0","0"
"156","of","0.529411764705882","47","0","0"
"157","the","0.117647058823529","47","1","0"
"158","bar","1","48","0","0"
"159","of","1","48","1","1"
"160","<>","0.5","49","0","0"
"161","<>","1","49","0","0"
"162","to","0.5","49","1","1"
"163","is","0.25","50","0","0"
"164","valley","0.666666666666667","50","0","0"
"165","of","0.15","50","0","0"
"166","if","0.1","50","0","0"
"167","of","0.6","50","0","0"
"168","on","0.285714285714286","50","0","0"
"169","the","0.4","50","1","0"
"170","press","0.8","51","0","0"
"171","and","0.3","51","0","0"
"172","of","0.25","51","1","1"
"173","the","0.333333333333333","52","0","0"
"174","guys","0.428571428571429","52","0","0"
"175","of","0.4","52","1","1"
"176","in","0.1","53","0","0"
"177","and","0.1","53","0","0"
"178","<>","0.4","53","0","0"
"179","for","0.25","53","0","0"
"180","at","0.25","53","0","0"
"181","<>","0.75","53","0","0"
"182","area","0.75","53","0","0"
"183","<>","0.428571428571429","53","0","0"
"184","of","1","53","0","0"
"185","of","0.4","53","2","2"
"186","and","0.15","55","0","0"
"187","i","0.1","55","0","0"
"188","of","1","55","0","0"
"189","of","0.5","55","0","0"
"190","this","0.2","55","0","0"
"191","ten","0.0882352941176471","55","0","0"
"192","east","0.0882352941176471","55","0","0"
"193","day","0.0588235294117647","55","0","0"
"194","<>","0.117647058823529","55","0","0"
"195","question","0.117647058823529","55","0","0"
"196","<>","0.235294117647059","55","0","0"
"197","would","0.2","55","0","0"
"198","<>","0.666666666666667","55","0","0"
"199","<>","0.2","55","0","0"
"200","of","0.9","55","1","0"
"201","<>","0.25","56","0","0"
"202","side","1","56","0","0"
"203","with","0.166666666666667","56","1","1"
"204","of","0.166666666666667","57","0","0"
"205","<>","0.166666666666667","57","0","0"
"206","of","0.2","57","0","0"
"207","and","0.107142857142857","57","0","0"
"208","of","0.0714285714285714","57","0","0"
"209","line","0.277777777777778","57","1","1"
"210","of","0.277777777777778","58","0","0"
"211","of","0.666666666666667","58","0","0"
"212","office","0.2","58","0","0"
"213","side","0.666666666666667","58","0","0"
"214","virgin","0.4","58","1","1"
"215","<>","0.333333333333333","59","0","0"
"216","<>","0.222222222222222","59","0","0"
"217","of","1","59","0","0"
"218","of","0.666666666666667","59","0","0"
"219","public","0.4","59","0","0"
"220","to","0.125","59","0","0"
"221","for","0.125","59","1","1"
"222","and","0.125","60","0","0"
"223","<>","0.1875","60","0","0"
"224","<>","0.133333333333333","60","0","0"
"225","of","0.333333333333333","60","2","1"
"226","<>","1","62","0","0"
"227","of","0.5","62","1","1"
"228","and","0.333333333333333","63","0","0"
"229","of","1","63","0","0"
"230","of","0.333333333333333","63","0","0"
"231","to","0.428571428571429","63","0","0"
"232","of","1","63","0","0"
"233","were","1","63","0","0"
"234","bulls","0.25","63","0","0"
"235","of","0.4","63","0","0"
"236","and","0.222222222222222","63","0","0"
"237","of","0.132075471698113","63","1","0"
"238","to","0.0566037735849057","64","0","0"
"239","had","0.0377358490566038","64","0","0"
"240","will","0.0377358490566038","64","0","0"
"241","has","0.0377358490566038","64","0","0"
"242","is","0.0377358490566038","64","0","0"
"243","of","0.25","64","0","0"
"244","<>","1","64","0","0"
"245","<>","0.4","64","1","1"
"246","of","0.571428571428571","65","1","0"
"247","photos","0.285714285714286","66","0","0"
"248","river","0.4","66","0","0"
"249","of","0.666666666666667","66","1","1"
"250","of","0.666666666666667","67","0","0"
"251","cold","0.666666666666667","67","0","0"
"252","of","0.25","67","0","0"
"253","has","0.130434782608696","67","0","0"
"254","<>","0.0869565217391304","67","0","0"
"255","<>","0.6","67","0","0"
"256","of","0.833333333333333","67","1","0"
"257","of","0.666666666666667","68","0","0"
"258","of","0.4","68","0","0"
"259","of","0.833333333333333","68","1","1"
"260","of","0.333333333333333","69","1","0"
"261","and","0.166666666666667","70","0","0"
"262","of","0.5","70","0","0"
"263","<>","1","70","0","0"
"264","of","0.666666666666667","70","0","0"
"265","will","0.222222222222222","70","0","0"
"266","is","0.125","70","0","0"
"267","needs","0.0833333333333333","70","0","0"
"268","<>","0.333333333333333","70","0","0"
"269","and","0.3","70","0","0"
"270","<>","1","70","0","0"
"271","to","1","70","0","0"
"272","of","0.545454545454545","70","1","1"
