"","word","freq"
"1","the","0.666666666666667"
"2","of","1"
"3","for","1"
"4","in","0.5"
"5","life","1"
"6","death","0.4"
"7","avenue","0.333333333333333"
"8","<>","0.666666666666667"
"9","<>","1"
"10","day","0.153846153846154"
"11","month","0.0769230769230769"
"12","week","0.0769230769230769"
"13","year","0.0769230769230769"
"14","<>","0.0769230769230769"
"15","<>","0.666666666666667"
"16","<>","0.666666666666667"
"17","matter","1"
"18","the","1"
"19","stars","1"
"20","the","1"
"21","you","1"
"22","<>","1"
"23","that","1"
"24","<>","1"
"25","<>","0.5"
"26","about","1"
"27","years","0.5"
"28","<>","1"
"29","<>","1"
"30","art","1"
"31","world","0.0909090909090909"
"32","life","0.5"
"33","life","0.666666666666667"
"34","do","1"
"35","education","1"
"36","unseen","0.5"
"37","seen","0.5"
"38","forever","1"
"39","of","1"
"40","<>","0.666666666666667"
"41","pan","0.285714285714286"
"42","the","1"
"43","<>","1"
"44","america","1"
"45","he","1"
"46","<>","0.269230769230769"
"47","<>","0.210526315789474"
"48","<>","0.6"
"49","<>","0.666666666666667"
"50","for","0.0444444444444444"
"51","may","0.0444444444444444"
"52","in","0.0444444444444444"
"53","<>","0.133333333333333"
"54","<>","0.647058823529412"
"55","him","1"
"56","the","0.0789473684210526"
"57","in","0.0789473684210526"
"58","that","0.0526315789473684"
"59","tonight","0.0526315789473684"
"60","to","0.0526315789473684"
"61","of","0.0526315789473684"
"62","<>","0.210526315789474"
"63","<>","0.142857142857143"
"64","<>","0.4"
"65","<>","0.285714285714286"
"66","<>","0.666666666666667"
"67","the","0.25"
"68","<>","0.375"
"69","<>","0.285714285714286"
"70","<>","0.6"
"71","in","1"
"72","<>","0.4"
"73","of","0.333333333333333"
"74","if","1"
"75","end","0.222222222222222"
"76","<>","0.666666666666667"
"77","<>","1"
"78","<>","0.428571428571429"
"79","or","1"
"80","representatives","1"
"81","more","1"
"82","god","1"
"83","the","1"
"84","and","0.5"
"85","me","1"
"86","the","0.241379310344828"
"87","a","0.0689655172413793"
"88","<>","0.275862068965517"
"89","the","0.185185185185185"
"90","a","0.0740740740740741"
"91","<>","0.185185185185185"
"92","<>","0.333333333333333"
"93","<>","0.333333333333333"
"94","<>","0.428571428571429"
"95","a","0.333333333333333"
"96","the","0.5"
"97","<>","0.75"
"98","the","1"
"99","<>","0.4"
"100","and","0.0714285714285714"
"101","the","0.0571428571428571"
"102","on","0.0428571428571429"
"103","a","0.0285714285714286"
"104","it","0.0285714285714286"
"105","in","0.0285714285714286"
"106","is","0.0285714285714286"
"107","of","0.0285714285714286"
"108","<>","0.142857142857143"
"109","a","1"
"110","<>","1"
"111","are","1"
"112","the","0.333333333333333"
"113","have","0.666666666666667"
"114","<>","0.666666666666667"
"115","<>","1"
"116","<>","0.285714285714286"
"117","of","1"
"118","of","0.75"
"119","<>","0.181818181818182"
"120","a","1"
"121","i","1"
"122","this","0.571428571428571"
"123","done","1"
"124","my","0.666666666666667"
"125","in","1"
"126","water","0.4"
"127","<>","0.6"
"128","know","1"
"129","in","0.666666666666667"
"130","am","1"
"131","more","0.666666666666667"
"132","<>","1"
"133","<>","1"
"134","<>","0.25"
"135","<>","1"
"136","followers","1"
"137","bill","1"
"138","living","1"
"139","to","1"
"140","on","1"
"141","the","1"
"142","comment","1"
"143","<>","0.666666666666667"
"144","a","1"
"145","up","1"
"146","how","1"
"147","being","1"
"148","on","1"
"149","of","0.157894736842105"
"150","<>","0.375"
"151","<>","0.666666666666667"
"152","this","0.5"
"153","receiving","1"
"154","to","0.5"
"155","do","0.666666666666667"
"156","<>","0.3"
"157","the","0.5"
"158","the","0.5"
"159","<>","0.2"
"160","tell","1"
"161","time","1"
"162","for","1"
"163","and","0.117647058823529"
"164","mind","1"
"165","i","0.666666666666667"
"166","to","0.666666666666667"
"167","the","1"
"168","<>","0.3"
"169","ago","0.333333333333333"
"170","ago","1"
"171","in","1"
"172","in","1"
"173","who","1"
"174","<>","1"
"175","week","1"
"176","my","1"
"177","go","1"
"178","<>","0.333333333333333"
"179","nike","0.666666666666667"
"180","game","1"
"181","<>","0.4"
"182","understand","1"
"183","them","1"
"184","<>","1"
"185","one","1"
"186","half","1"
"187","<>","0.222222222222222"
"188","to","0.2"
"189","on","0.2"
"190","<>","0.2"
"191","<>","0.222222222222222"
"192","<>","0.5"
"193","<>","0.5"
"194","<>","0.75"
"195","<>","0.5"
"196","<>","1"
"197","reached","1"
"198","<>","0.307692307692308"
"199","the","0.375"
"200","a","0.25"
"201","well","0.333333333333333"
"202","<>","0.333333333333333"
"203","a","0.4"
"204","<>","0.4"
"205","a","0.5"
"206","the","0.5"
"207","<>","0.181818181818182"
"208","the","0.666666666666667"
"209","band","1"
"210","the","0.166666666666667"
"211","<>","0.25"
"212","<>","0.5"
"213","<>","0.666666666666667"
"214","of","0.117647058823529"
"215","<>","0.176470588235294"
"216","to","1"
"217","a","0.666666666666667"
"218","and","0.181818181818182"
"219","to","1"
"220","be","1"
"221","was","0.666666666666667"
"222","thy","1"
"223","gym","1"
"224","best","0.285714285714286"
"225","glass","1"
"226","can","1"
"227","it","1"
"228","good","1"
"229","<>","1"
"230","didn't","1"
"231","was","1"
"232","<>","1"
"233","and","0.416666666666667"
"234","<>","0.363636363636364"
"235","love","0.5"
"236","<>","0.5"
"237","the","0.2"
"238","<>","0.2"
"239","<>","1"
"240","<>","0.75"
"241","court","1"
"242","wildlife","0.142857142857143"
"243","<>","0.142857142857143"
"244","<>","0.571428571428571"
"245","the","0.428571428571429"
"246","<>","0.5"
"247","in","0.0833333333333333"
"248","the","0.0833333333333333"
"249","<>","0.25"
"250","<>","0.5"
"251","<>","0.666666666666667"
"252","and","1"
"253","<>","0.666666666666667"
"254","building","1"
"255","the","1"
"256","in","1"
"257","we","0.117647058823529"
"258","<>","0.117647058823529"
"259","the","0.307692307692308"
"260","a","0.153846153846154"
"261","<>","0.230769230769231"
