"","word","freq","start","all","real"
"1","in","0.195195195195195","1","2","2"
"2","i","0.111111111111111","3","0","0"
"3","since","0.0660660660660661","3","0","0"
"4","that","0.036036036036036","3","0","0"
"5","and","0.033033033033033","3","0","0"
"6","the","0.027027027027027","3","0","0"
"7","he","0.024024024024024","3","0","0"
"8","<>","0.024024024024024","3","0","0"
"9","of","0.392857142857143","3","1","1"
"10","of","0.52","4","1","1"
"11","of","0.333333333333333","5","1","1"
"12","many","0.195121951219512","6","0","0"
"13","of","0.325","6","0","0"
"14","is","0.210526315789474","6","0","0"
"15","games","0.323529411764706","6","0","0"
"16","of","1","6","0","0"
"17","that","0.375","6","0","0"
"18","of","0.789473684210526","6","0","0"
"19","of","0.175438596491228","6","0","0"
"20","the","0.06","6","0","0"
"21","as","0.0533333333333333","6","0","0"
"22","<>","0.0666666666666667","6","0","0"
"23","the","0.220338983050847","6","0","0"
"24","of","0.888888888888889","6","0","0"
"25","of","1","6","0","0"
"26","the","0.180555555555556","6","0","0"
"27","to","0.859649122807018","6","0","0"
"28","to","0.183673469387755","6","0","0"
"29","of","0.441860465116279","6","0","0"
"30","the","0.458333333333333","6","0","0"
"31","of","0.571428571428571","6","0","0"
"32","to","0.846153846153846","6","0","0"
"33","can","1","6","0","0"
"34","center","0.727272727272727","6","0","0"
"35","times","0.235955056179775","6","0","0"
"36","knicks","0.0898876404494382","6","0","0"
"37","<>","0.0898876404494382","6","0","0"
"38","patriots","0.666666666666667","6","0","0"
"39","<>","0.0967741935483871","6","0","0"
"40","thing","0.145161290322581","6","0","0"
"41","the","0.202247191011236","6","0","0"
"42","go","0.0898876404494382","6","0","0"
"43","<>","0.0898876404494382","6","0","0"
"44","is","0.2","6","0","0"
"45","which","0.4","6","0","0"
"46","was","0.134328358208955","6","0","0"
"47","the","0.42","6","0","0"
"48","days","0.363636363636364","6","0","0"
"49","weeks","0.309090909090909","6","0","0"
"50","years","0.145454545454545","6","0","0"
"51","years","0.256410256410256","6","0","0"
"52","of","0.545454545454545","6","0","0"
"53","of","0.5","6","0","0"
"54","i","0.211267605633803","6","0","0"
"55","years","0.26530612244898","6","0","0"
"56","weeks","0.183673469387755","6","0","0"
"57","months","0.163265306122449","6","0","0"
"58","days","0.163265306122449","6","0","0"
"59","years","0.342105263157895","6","0","0"
"60","of","0.612903225806452","6","1","1"
"61","to","0.258064516129032","7","0","0"
"62","of","0.714285714285714","7","0","0"
"63","the","0.140625","7","0","0"
"64","the","0.678571428571429","7","0","0"
"65","office","0.8","7","0","0"
"66","the","0.526315789473684","7","0","0"
"67","when","0.8","7","0","0"
"68","the","0.41","7","0","0"
"69","my","0.21","7","0","0"
"70","his","0.09","7","0","0"
"71","the","0.666666666666667","7","0","0"
"72","the","0.565789473684211","7","1","1"
"73","a","0.118421052631579","8","0","0"
"74","<>","0.209677419354839","8","0","0"
"75","the","0.602739726027397","8","0","0"
"76","is","0.642857142857143","8","0","0"
"77","the","0.428571428571429","8","0","0"
"78","the","0.509803921568627","8","0","0"
"79","disease","0.818181818181818","8","1","1"
"80","the","0.8","9","0","0"
"81","<>","0.140350877192982","9","0","0"
"82","the","0.727272727272727","9","0","0"
"83","<>","0.228571428571429","9","0","0"
"84","the","0.192982456140351","9","0","0"
"85","the","0.317073170731707","9","0","0"
"86","the","0.371428571428571","9","0","0"
"87","a","0.1875","9","0","0"
"88","the","0.170212765957447","9","0","0"
"89","the","0.444444444444444","9","0","0"
"90","columbia","0.727272727272727","9","0","0"
"91","industrial","0.9","9","1","1"
"92","of","0.666666666666667","10","0","0"
"93","the","0.413793103448276","10","0","0"
"94","the","0.559360730593607","10","6","6"
"95","this","0.0570776255707763","16","0","0"
"96","a","0.0388127853881279","16","0","0"
"97","april","0.0273972602739726","16","0","0"
"98","my","0.0228310502283105","16","0","0"
"99","it","0.0182648401826484","16","0","0"
"100","the","0.24390243902439","16","0","0"
"101","i","0.136531365313653","16","0","0"
