"","X","word","freq","start","all","real"
"1",1,"mi",0.0450886942076849,1,47,46
"2",2,"na",0.0349041865248087,48,22,21
"3",3,"to",0.0256293630233156,70,32,31
"4",4,"v",0.0199735005042814,102,18,17
"5",5,"s",0.0125378211086282,120,8,7
"6",6,"o",0.0114897067257302,128,9,8
"7",7,"do",0.0107777799750826,137,6,5
"8",8,"že",0.00858267249391896,143,9,8
"9",9,"tam",0.00794984871556549,152,1,0
"10",10,"k",0.00794984871556549,153,6,5
"11",11,"a",0.0044297664484743,159,1,0
"12",12,"aby",0.000514169319912196,160,0,0
"13",13,"akce",0.000158205944588368,160,0,0
"14",14,"ale",0.00781141851405067,160,2,1
"15",15,"alespoň",0.00059327229220638,162,0,0
"16",16,"ani",0.00185891984891332,162,1,0
"17",17,"asi",0.00249174362726679,163,1,0
"18",18,"aspoň",0.00049439357683865,164,0,0
"19",19,"až",0.00120632032748631,164,0,0
"20",20,"bavil",0.00019775743073546,164,0,0
"21",21,"bavit",0.00029663614610319,164,0,0
"22",22,"baví",0.000158205944588368,164,0,0
"23",23,"bavím",0.000177981687661914,164,0,0
"24",24,"bez",0.00079102972294184,164,1,0
"25",25,"blíží",0.00114699309826567,165,0,0
"26",26,"bohužel",0.00039551486147092,165,0,0
"27",27,"bojim",0.000158205944588368,165,0,0
"28",28,"bojí",0.000632823778353472,165,0,0
"29",29,"bojím",0.000751478236794748,165,0,0
"30",30,"brzo",0.000177981687661914,165,0,0
"31",31,"brzy",0.00039551486147092,165,0,0
"32",32,"bránit",0.000158205944588368,165,0,0
"33",33,"brání",0.00029663614610319,165,0,0
"34",34,"bude",0.00478572982379813,165,5,4
"35",35,"budeme",0.000454842090691558,170,0,0
"36",36,"budete",0.000336187632250282,170,0,0
"37",37,"budou",0.00170071390432495,170,1,0
"38",38,"budu",0.00128542329978049,171,1,1
"39",39,"byl",0.000237308916882552,172,0,0
"40",40,"bál",0.000336187632250282,172,0,0
"41",41,"bála",0.00039551486147092,172,1,1
"42",42,"bát",0.000435066347618012,173,0,0
"43",43,"být",0.000217533173809006,173,0,0
"44",44,"během",0.000711926750647656,173,0,0
"45",45,"celou",0.000158205944588368,173,0,0
"46",46,"celá",0.000158205944588368,173,0,0
"47",47,"celý",0.000257084659956098,173,0,0
"48",48,"cena",0.000177981687661914,173,0,0
