"","word","freq","start","all","real"
"1","to","0.112719298245614","1","4","3"
"2","lÌbÌ","0.062719298245614","5","2","1"
"3","poda¯ilo","0.0210526315789474","7","1","0"
"4","ûe","0.0210526315789474","8","1","1"
"5","nechce","0.0184210526315789","9","0","0"
"6","na","0.0184210526315789","9","0","0"
"7","tam","0.0175438596491228","9","0","0"
"8","zd·","0.0166666666666667","9","1","1"
"9","moc","0.0149122807017544","10","1","1"
"10","do","0.0131578947368421","11","1","1"
"11","ale","0.0043859649122807","12","0","0"
"12","ani","0.0043859649122807","12","0","0"
"13","asi","0.00350877192982456","12","0","0"
"14","bude","0.00394736842105263","12","0","0"
"15","chce","0.00745614035087719","12","0","0"
"16","chtÏlo","0.00482456140350877","12","0","0"
"17","dneska","0.00350877192982456","12","0","0"
"18","fakt","0.00614035087719298","12","0","0"
"19","i","0.0043859649122807","12","0","0"
"20","koneËnÏ","0.0043859649122807","12","0","0"
"21","lÌbil","0.00482456140350877","12","0","0"
"22","lÌbilo","0.00570175438596491","12","0","0"
"23","nechtÏlo","0.00394736842105263","12","0","0"
"24","neda¯Ì","0.00394736842105263","12","0","0"
"25","nelÌbÌ","0.012280701754386","12","0","0"
"26","nepoda¯ilo","0.00350877192982456","12","0","0"
"27","nÏjak","0.0043859649122807","12","0","0"
"28","o","0.00833333333333333","12","0","0"
"29","opravdu","0.0043859649122807","12","0","0"
"30","po","0.00745614035087719","12","0","0"
"31","poda¯Ì","0.00482456140350877","12","0","0"
"32","povedlo","0.00526315789473684","12","0","0"
"33","s","0.00350877192982456","12","0","0"
"34","snad","0.00394736842105263","12","0","0"
"35","sp·t","0.00394736842105263","12","0","0"
"36","stalo","0.0087719298245614","12","0","0"
"37","st·v·","0.00394736842105263","12","0","0"
"38","ta","0.00526315789473684","12","0","0"
"39","taky","0.00833333333333333","12","0","0"
"40","ten","0.00833333333333333","12","0","0"
"41","tu","0.00657894736842105","12","0","0"
"42","uû","0.0043859649122807","12","0","0"
"43","v","0.0118421052631579","12","0","0"
"44","v˘bec","0.00526315789473684","12","0","0"
"45","za","0.00482456140350877","12","0","0"
"46","zd·lo","0.00526315789473684","12","0","0"
"47","<>","0.0789473684210526","12","2","1"
"48","to","0.112181303116147","14","1","0"
"49","nÏj","0.0475920679886686","15","1","0"
"50","mÏ","0.0345609065155807","16","1","0"
"51","ni","0.0203966005665722","17","0","0"
"52","nÌ","0.0181303116147309","17","0","0"
"53","nÏ","0.0130311614730878","17","0","0"
"54","n·s","0.0124645892351275","17","0","0"
"55","tom","0.0124645892351275","17","0","0"
"56","v·s","0.0113314447592068","17","0","0"
"57","dalöÌ","0.0107648725212465","17","0","0"
"58","cestu","0.00453257790368272","17","0","0"
"59","co","0.00793201133144476","17","1","1"
"60","internetu","0.0056657223796034","18","0","0"
"61","nich","0.00679886685552408","18","0","0"
"62","nÏm","0.00963172804532578","18","0","0"
"63","sebe","0.00453257790368272","18","0","0"
"64","tebe","0.00679886685552408","18","0","0"
"65","ten","0.00793201133144476","18","0","0"
"66","tu","0.00679886685552408","18","0","0"
"67","twitteru","0.00453257790368272","18","0","0"
"68","ty","0.00906515580736544","18","0","0"
"69","<>","0.0906515580736544","18","2","1"
"70","d·","0.025462962962963","20","0","0"
"71","stalo","0.0185185185185185","20","0","0"
"72","tak","0.0162037037037037","20","0","0"
"73","bude","0.0154320987654321","20","0","0"
"74","dÏje","0.0146604938271605","20","0","0"
"75","v","0.0138888888888889","20","0","0"
"76","na","0.0123456790123457","20","0","0"
"77","dalo","0.0108024691358025","20","0","0"
"78","jmenuje","0.0108024691358025","20","0","0"
"79","ale","0.0108024691358025","20","0","0"
"80","asi","0.0108024691358025","20","0","0"
"81","blÌûÌ","0.00694444444444444","20","0","0"
"82","dÏl·","0.00848765432098765","20","0","0"
"83","i","0.00925925925925926","20","0","0"
"84","lÌbÌ","0.00694444444444444","20","0","0"
"85","mohlo","0.00694444444444444","20","0","0"
"86","musÌ","0.00771604938271605","20","0","0"
"87","m˘ûe","0.00617283950617284","20","0","0"
"88","nÏjak","0.00771604938271605","20","0","0"
"89","pak","0.00771604938271605","20","0","0"
"90","poda¯ilo","0.00694444444444444","20","0","0"
"91","povede","0.00617283950617284","20","0","0"
"92","povedlo","0.0100308641975309","20","0","0"
"93","s","0.00694444444444444","20","0","0"
"94","se","0.00694444444444444","20","0","0"
"95","stane","0.00617283950617284","20","0","0"
"96","tu","0.00925925925925926","20","0","0"
"97","t˝k·","0.0100308641975309","20","0","0"
"98","uû","0.00925925925925926","20","0","0"
"99","vöechno","0.00694444444444444","20","0","0"
"100","zase","0.00848765432098765","20","0","0"
"101","<>","0.0964506172839506","20","0","0"
"102","tom","0.0524752475247525","20","1","0"
"103","nÏm","0.0316831683168317","21","0","0"
"104","nich","0.0237623762376238","21","0","0"
"105","roce","0.0227722772277228","21","0","0"
"106","poslednÌch","0.0178217821782178","21","1","1"
"107","nÌ","0.0178217821782178","22","0","0"
"108","tomto","0.0158415841584158","22","0","0"
"109","sobotu","0.0138613861386139","22","0","0"
"110","poslednÌ","0.0128712871287129","22","1","1"
"111","tÈ","0.0128712871287129","23","0","0"
"112","minulosti","0.00792079207920792","23","0","0"
"113","nedÏli","0.0099009900990099","23","0","0"
"114","noci","0.00891089108910891","23","0","0"
"115","podstatÏ","0.00792079207920792","23","0","0"
"116","pr·ci","0.0099009900990099","23","0","0"
"117","p·tek","0.0099009900990099","23","0","0"
"118","r·mci","0.0118811881188119","23","0","0"
"119","<>","0.102970297029703","23","1","0"
"120","tÌm","0.157728706624606","24","1","0"
"121","nÌm","0.10410094637224","25","0","0"
"122","nÌ","0.055205047318612","25","0","0"
"123","nimi","0.0488958990536278","25","0","0"
"124","n·mi","0.028391167192429","25","0","0"
"125","v·mi","0.028391167192429","25","0","0"
"126","tim","0.0157728706624606","25","0","0"
"127","<>","0.146687697160883","25","1","0"
"128","tom","0.103270223752151","26","0","0"
"129","to","0.0688468158347676","26","0","0"
"130","nÏ","0.0309810671256454","26","0","0"
"131","nÏj","0.0309810671256454","26","0","0"
"132","nÌ","0.0292598967297762","26","0","0"
"133","nich","0.0240963855421687","26","0","0"
"134","nÏm","0.0240963855421687","26","0","0"
"135","svÈ","0.0172117039586919","26","0","0"
"136","<>","0.0860585197934595","26","0","0"
"137","toho","0.0972477064220184","26","0","0"
"138","nÏj","0.0293577981651376","26","0","0"
"139","nÌ","0.0293577981651376","26","0","0"
"140","pr·ce","0.0220183486238532","26","0","0"
"141","nich","0.0165137614678899","26","0","0"
"142","<>","0.115596330275229","26","2","1"
"143","to","0.0529953917050691","28","0","0"
"144","se","0.043778801843318","28","0","0"
"145","je","0.0414746543778802","28","0","0"
"146","v","0.0276497695852535","28","0","0"
"147","by","0.0253456221198157","28","0","0"
"148","si","0.0184331797235023","28","0","0"
"149","jsem","0.0184331797235023","28","0","0"
"150","i","0.0184331797235023","28","0","0"
"151","<>","0.0552995391705069","28","0","0"
"152","<>","0.164179104477612","28","0","0"
"153","tomu","0.189054726368159","28","0","0"
"154","nÏmu","0.101990049751244","28","0","0"
