"","word","freq","start","all","real"
"1","in","0.174377224199288","1","1","1"
"2","i","0.106761565836299","2","0","0"
"3","since","0.0889679715302491","2","0","0"
"4","and","0.0355871886120996","2","0","0"
"5","he","0.0355871886120996","2","0","0"
"6","this","0.0320284697508897","2","0","0"
"7","that","0.0284697508896797","2","0","0"
"8","of","0.2","2","0","0"
"9","and","0.177777777777778","2","0","0"
"10","of","0.25","2","0","0"
"11","the","0.294117647058824","2","0","0"
"12","of","0.625","2","0","0"
"13","of","0.419354838709677","2","1","1"
"14","that","0.290322580645161","3","0","0"
"15","i","0.258064516129032","3","0","0"
"16","i","0.0774647887323944","3","0","0"
"17","to","0.843137254901961","3","0","0"
"18","the","0.2","3","0","0"
"19","of","0.296296296296296","3","0","0"
"20","is","0.296296296296296","3","0","0"
"21","the","0.333333333333333","3","0","0"
"22","times","0.304347826086957","3","0","0"
"23","a","0.212765957446809","3","0","0"
"24","center","1","3","0","0"
"25","thing","0.23728813559322","3","0","0"
"26","<>","0.161764705882353","3","0","0"
"27","the","0.228915662650602","3","0","0"
"28","go","0.132530120481928","3","0","0"
"29","is","0.346153846153846","3","0","0"
"30","i","0.2","3","0","0"
"31","you","0.157142857142857","3","0","0"
"32","years","0.285714285714286","3","0","0"
"33","days","0.209302325581395","3","0","0"
"34","years","0.209302325581395","3","0","0"
"35","years","0.413793103448276","3","0","0"
"36","of","0.37037037037037","3","0","0"
"37","to","0.333333333333333","3","0","0"
"38","of","0.6875","3","0","0"
"39","the","0.458333333333333","3","0","0"
"40","days","0.230769230769231","3","0","0"
"41","weeks","0.230769230769231","3","0","0"
"42","months","0.205128205128205","3","0","0"
"43","weeks","0.380952380952381","3","0","0"
"44","of","0.928571428571429","3","1","1"
"45","the","0.7","4","0","0"
"46","when","0.818181818181818","4","0","0"
"47","the","0.387755102040816","4","0","0"
"48","my","0.193877551020408","4","0","0"
"49","a","0.0918367346938776","4","0","0"
"50","the","0.436619718309859","4","0","0"
"51","a","0.126760563380282","4","0","0"
"52","the","0.5","4","0","0"
"53","south","0.166666666666667","4","0","0"
"54","<>","0.25","4","0","0"
"55","the","0.65","4","0","0"
"56","is","0.4","4","0","0"
"57","the","0.522727272727273","4","0","0"
"58","the","0.5625","4","0","0"
"59","<>","0.178571428571429","4","0","0"
"60","the","0.363636363636364","4","0","0"
"61","the","0.183333333333333","4","0","0"
"62","the","0.348837209302326","4","0","0"
"63","a","0.186046511627907","4","0","0"
"64","of","1","4","0","0"
"65","the","0.435897435897436","4","0","0"
"66","a","0.204081632653061","4","0","0"
"67","<>","0.170212765957447","4","0","0"
"68","the","0.5","4","0","0"
"69","industrial","0.909090909090909","4","1","1"
"70","the","0.242424242424242","5","0","0"
"71","the","0.517520215633423","5","3","3"
"72","this","0.045822102425876","8","0","0"
"73","a","0.0350404312668464","8","0","0"
"74","last","0.0215633423180593","8","0","0"
"75","the","0.30952380952381","8","0","0"
"76","the","0.120535714285714","8","0","0"
"77","i","0.0982142857142857","8","0","0"
"78","we","0.0535714285714286","8","0","0"
"79","this","0.0491071428571429","8","0","0"
"80","he","0.0446428571428571","8","0","0"
"81","you","0.0401785714285714","8","0","0"
"82","<>","0.0357142857142857","8","0","0"
"83","the","0.730769230769231","8","0","0"
"84","the","0.242424242424242","8","0","0"
"85","to","0.75","8","0","0"
"86","is","0.535714285714286","8","0","0"
"87","the","0.407407407407407","8","0","0"
"88","the","0.5","8","0","0"
"89","the","0.41025641025641","8","0","0"
"90","sold","0.8","8","1","1"
"91","representatives","0.466666666666667","9","0","0"
"92","a","0.118279569892473","9","0","0"
"93","the","0.0967741935483871","9","0","0"
"94","<>","0.0967741935483871","9","0","0"
"95","the","0.333333333333333","9","0","0"
"96","the","0.428571428571429","9","0","0"
"97","person","0.102564102564103","9","0","0"
"98","<>","0.102564102564103","9","0","0"
"99","the","0.5625","9","0","0"
"100","a","0.288888888888889","9","0","0"
"101","the","0.177777777777778","9","0","0"
"102","<>","0.285714285714286","9","0","0"
"103","the","0.333333333333333","9","0","0"
"104","the","0.642857142857143","9","0","0"
"105","the","0.495867768595041","9","1","1"
"106","a","0.148760330578512","10","0","0"
"107","of","1","10","0","0"
"108","the","0.432835820895522","10","0","0"
"109","service","0.846153846153846","10","0","0"
"110","the","0.666666666666667","10","0","0"
"111","pda","0.875","10","0","0"
"112","people","0.100840336134454","10","0","0"
"113","<>","0.142857142857143","10","0","0"
"114","the","0.666666666666667","10","0","0"
"115","only","0.75","10","0","0"
"116","who","0.238095238095238","10","0","0"
"117","that","0.0952380952380952","10","0","0"
"118","that","0.3125","10","0","0"
"119","i","0.1625","10","0","0"
"120","to","0.454545454545455","10","0","0"
"121","who","0.380952380952381","10","0","0"
"122","i","0.191176470588235","10","0","0"
"123","and","0.117647058823529","10","0","0"
"124","of","0.630434782608696","10","1","1"
"125","of","0.473684210526316","11","1","1"
"126","around","0.526315789473684","12","0","0"
"127","the","0.421052631578947","12","0","0"
"128","repair","1","12","0","0"
"129","the","0.37037037037037","12","0","0"
"130","years","0.523809523809524","12","0","0"
"131","years","0.317073170731707","12","0","0"
"132","weeks","0.24390243902439","12","0","0"
"133","months","0.219512195121951","12","0","0"
"134","years","0.6875","12","0","0"
"135","years","0.714285714285714","12","0","0"
"136","of","0.714285714285714","12","0","0"
"137","the","0.413793103448276","12","0","0"
"138","be","0.4","12","0","0"
"139","the","0.666666666666667","12","0","0"
"140","the","0.297297297297297","12","0","0"
"141","the","0.428571428571429","12","0","0"
"142","the","0.727272727272727","12","0","0"
"143","the","0.579505300353357","12","4","3"
"144","us","0.109540636042403","16","0","0"
"145","my","0.0848056537102474","16","1","1"
"146","your","0.03886925795053","17","0","0"
"147","of","0.642857142857143","17","0","0"
"148","of","0.230769230769231","17","0","0"
"149","in","0.347826086956522","17","0","0"
