"","word","freq","start","all","real"
"1","la","0.127821056051316","1","471","470"
"2","los","0.0558439493747883","472","210","209"
"3","las","0.0327363466071293","682","132","131"
"4","que","0.0184694928492925","814","42","41"
"5","un","0.0171146947211259","856","54","53"
"6","una","0.0137760850481437","910","36","35"
"7","su","0.0130295636305825","946","32","31"
"8","lo","0.00765875676535035","978","20","19"
"9","sus","0.00646294005018283","998","10","9"
"10","mi","0.00602746922327211","1008","15","14"
"11","#ff","5.5297882782313e-05","1023","0","0"
"12","#wikileaks","6.22101181301021e-05","1023","0","0"
"13","a","0.00203219719225","1023","6","5"
"14","abajo","0.000138244706955782","1029","0","0"
"15","abandonar","6.91223534778912e-05","1029","0","0"
"16","abogados","0.000117508000912415","1029","1","1"
"17","abril","0.000933151771951531","1030","3","3"
"18","abrir","0.000214279295781463","1033","1","1"
"19","abu","7.60345888256803e-05","1034","0","0"
"20","abusos","7.60345888256803e-05","1034","0","0"
"21","acabar","0.000186630354390306","1034","0","0"
"22","acceso","0.000304138355302721","1034","2","2"
"23","accidentes","5.5297882782313e-05","1036","0","0"
"24","acciones","0.000165893648346939","1036","0","0"
"25","accionistas","5.5297882782313e-05","1036","0","0"
"26","acción","0.000373260708780613","1036","1","1"
"27","aceite","0.000131332471607993","1037","0","0"
"28","acero","8.98590595212586e-05","1037","0","0"
"29","acierto","6.22101181301021e-05","1037","1","1"
"30","acogida","0.000117508000912415","1038","0","0"
"31","acordar","5.5297882782313e-05","1038","0","0"
"32","actitud","5.5297882782313e-05","1038","0","0"
"33","actividad","0.000152069177651361","1038","0","0"
"34","actividades","0.000290313884607143","1038","1","1"
"35","activos","6.22101181301021e-05","1039","0","0"
"36","actores","7.60345888256803e-05","1039","0","0"
"37","actos","0.000193542589738095","1039","1","1"
"38","actuaciones","7.60345888256803e-05","1040","0","0"
"39","actuación","0.00023501600182483","1040","0","0"
"40","actualidad","6.22101181301021e-05","1040","0","0"
"41","actualizar","5.5297882782313e-05","1040","0","0"
"42","actuar","0.000124420236260204","1040","0","0"
"43","acudir","6.22101181301021e-05","1040","0","0"
"44","acuerdo","0.00251605366659524","1040","5","4"
"45","acuerdos","5.5297882782313e-05","1045","0","0"
"46","administración","0.000269577178563776","1045","1","1"
"47","adn","6.22101181301021e-05","1046","0","0"
"48","adoptar","6.91223534778912e-05","1046","0","0"
"49","adultos","6.91223534778912e-05","1046","0","0"
"50","aena","9.67712948690477e-05","1046","0","0"
"51","afectados","7.60345888256803e-05","1046","0","0"
"52","afganistán","9.67712948690477e-05","1046","0","0"
"53","aficionados","7.60345888256803e-05","1046","0","0"
"54","agentes","0.000117508000912415","1046","0","0"
"55","agosto","0.000953888477994899","1046","3","3"
"56","agresión","8.98590595212586e-05","1049","0","0"
"57","agricultura","0.000145156942303572","1049","0","0"
"58","agua","0.00112669436168963","1049","5","4"
"59","aguas","0.000131332471607993","1054","0","0"
"60","ahi","9.67712948690477e-05","1054","0","0"
"61","ahora","0.000615188945953232","1054","0","0"
"62","ahorro","0.000207367060433674","1054","0","0"
"63","ahorros","0.000186630354390306","1054","0","0"
"64","ahí","0.000760345888256803","1054","2","2"
"65","aire","0.000152069177651361","1056","0","0"
"66","ajuste","0.000138244706955782","1056","0","0"
"67","al","0.000580627769214286","1056","3","2"
"68","alarma","0.000380172944128402","1059","0","0"
"69","albacete","0.0003179628259983","1059","0","0"
"70","alberto","6.91223534778912e-05","1059","0","0"
"71","alcalde","8.29468241734695e-05","1059","0","0"
"72","alcalá","6.22101181301021e-05","1059","0","0"
"73","alcanzar","0.000172805883694728","1059","0","0"
"74","alcohol","0.000145156942303572","1059","0","0"
"75","alegría","0.000186630354390306","1059","0","0"
"76","alejamiento","0.000124420236260204","1059","0","0"
"77","alejandro","8.29468241734695e-05","1059","0","0"
"78","alemania","0.000228103766477041","1059","0","0"
"79","alerta","9.67712948690477e-05","1059","0","0"
"80","alfonso","9.67712948690477e-05","1059","0","0"
"81","algeciras","5.5297882782313e-05","1059","0","0"
"82","algo","0.000760345888256803","1059","2","2"
"83","alguien","0.000255752707868197","1061","1","1"
"84","alguna","0.000622101181301021","1062","2","2"
"85","algunas","0.000248840472520408","1064","1","1"
"86","alguno","8.98590595212586e-05","1065","1","1"
"87","algunos","0.000539154357127552","1066","1","1"
"88","algún","0.000352524002737245","1067","0","0"
"89","alicante","0.000829468241734695","1067","0","0"
"90","alimentación","0.000103683530216837","1067","0","0"
"91","alimentos","0.000228103766477041","1067","0","0"
"92","allí","0.000186630354390306","1067","0","0"
"93","almería","8.98590595212586e-05","1067","0","0"
"94","alonso","0.000110595765564626","1067","0","0"
"95","alquiler","0.00015898141299915","1067","0","0"
"96","alrededor","6.91223534778912e-05","1067","0","0"
"97","alta","0.000698135770126701","1067","1","1"
"98","alto","0.000255752707868197","1068","0","0"
"99","altura","0.000262664943215987","1068","0","0"
"100","alumnos","0.000228103766477041","1068","0","0"
"101","amar","0.000165893648346939","1068","0","0"
"102","amazon","6.22101181301021e-05","1068","0","0"
"103","ambas","0.000221191531129252","1068","0","0"
"104","ambos","0.000290313884607143","1068","0","0"
"105","amigos","0.000269577178563776","1068","0","0"
"106","amistad","0.000186630354390306","1068","0","0"
"107","amor","0.000608276710605443","1068","1","1"
"108","ampliación","5.5297882782313e-05","1069","0","0"
"109","américa","0.000207367060433674","1069","1","1"
"110","ana","0.000110595765564626","1070","0","0"
"111","analizar","5.5297882782313e-05","1070","0","0"
"112","ancho","0.000131332471607993","1070","0","0"
"113","ancianos","5.5297882782313e-05","1070","0","0"
"114","andalucía","0.000718872476170069","1070","2","1"
"115","andar","7.60345888256803e-05","1072","0","0"
"116","android","6.91223534778912e-05","1072","0","0"
"117","andrés","5.5297882782313e-05","1072","0","0"
"118","animales","0.00015898141299915","1072","0","0"
"119","anoche","0.000110595765564626","1072","0","0"
"120","ansiedad","9.67712948690477e-05","1072","0","0"
"121","antano","8.29468241734695e-05","1072","0","0"
"122","antelación","6.91223534778912e-05","1072","0","0"
"123","antemano","0.00015898141299915","1072","0","0"
"124","antena","0.000103683530216837","1072","0","0"
"125","antequera","0.000103683530216837","1072","0","0"
"126","antes","0.000221191531129252","1072","1","1"
"127","antonio","0.000138244706955782","1073","1","0"
"128","anunciar","8.29468241734695e-05","1074","0","0"
"129","análisis","0.000124420236260204","1074","0","0"
"130","aparcamiento","6.22101181301021e-05","1074","0","0"
"131","apelación","9.67712948690477e-05","1074","0","0"
"132","apenas","5.5297882782313e-05","1074","0","0"
"133","apertura","8.98590595212586e-05","1074","0","0"
"134","aplicación","7.60345888256803e-05","1074","0","0"
"135","apoyo","0.000435470826910715","1074","2","2"
"136","apple","0.000228103766477041","1076","0","0"
"137","aprender","0.000145156942303572","1076","0","0"
"138","aprendizaje","0.000172805883694728","1076","0","0"
"139","aprovechar","5.5297882782313e-05","1076","0","0"
"140","aproximadamente","0.000110595765564626","1076","0","0"
"141","apuestas","6.91223534778912e-05","1076","0","0"
"142","aquel","0.000304138355302721","1076","0","0"
"143","aquella","0.00023501600182483","1076","0","0"
"144","aquellas","0.000103683530216837","1076","0","0"
"145","aquello","6.91223534778912e-05","1076","0","0"
"146","aquellos","0.000380172944128402","1076","1","1"
"147","aqui","0.000131332471607993","1077","0","0"
"148","aquí","0.000559891063170919","1077","2","2"
"149","aragón","0.000228103766477041","1079","0","0"
"150","araujo","8.29468241734695e-05","1079","0","0"
"151","archivos","7.60345888256803e-05","1079","0","0"
"152","arena","0.0003179628259983","1079","0","0"
"153","argentina","0.000110595765564626","1079","0","0"
"154","armas","0.000269577178563776","1079","0","0"
"155","arquitectos","7.60345888256803e-05","1079","0","0"
"156","arquitectura","5.5297882782313e-05","1079","0","0"
"157","arriba","0.000297226119954932","1079","0","0"
"158","arroz","0.000117508000912415","1079","0","0"
"159","arte","0.000463119768301871","1079","1","1"
"160","artes","6.22101181301021e-05","1080","0","0"
"161","artesanía","5.5297882782313e-05","1080","0","0"
"162","artistas","0.000179718119042517","1080","0","0"
"163","artículos","7.60345888256803e-05","1080","0","0"
"164","ascenso","0.000152069177651361","1080","1","1"
"165","asia","5.5297882782313e-05","1081","0","0"
"166","asistencia","0.000138244706955782","1081","0","0"
"167","asociaciones","0.000117508000912415","1081","1","1"
"168","asociación","8.29468241734695e-05","1082","0","0"
"169","asturias","0.000331787296693878","1082","0","0"
"170","asumir","6.91223534778912e-05","1082","0","0"
"171","asuntos","0.000276489413911565","1082","1","1"
"172","ataque","0.000117508000912415","1083","0","0"
"173","atenas","5.5297882782313e-05","1083","0","0"
"174","atención","0.000359436238085034","1083","2","2"
"175","aterrizar","5.5297882782313e-05","1085","0","0"
"176","atletismo","0.000103683530216837","1085","0","0"
"177","atracciones","5.5297882782313e-05","1085","0","0"
"178","atracción","7.60345888256803e-05","1085","0","0"
"179","atrás","6.22101181301021e-05","1085","0","0"
"180","audiencia","0.000110595765564626","1085","0","0"
"181","aumentar","9.67712948690477e-05","1085","0","0"
"182","aumento","6.22101181301021e-05","1085","0","0"
"183","aunque","8.29468241734695e-05","1085","0","0"
"184","austeridad","0.000117508000912415","1085","0","0"
"185","australia","0.000138244706955782","1085","0","0"
"186","austria","7.60345888256803e-05","1085","0","0"
"187","autobuses","0.000131332471607993","1085","0","0"
"188","autonomía","0.000124420236260204","1085","0","0"
"189","autor","0.000186630354390306","1085","0","0"
"190","autores","7.60345888256803e-05","1085","0","0"
"191","autoridad","5.5297882782313e-05","1085","0","0"
"192","auxilio","6.91223534778912e-05","1085","0","0"
"193","avatar","9.67712948690477e-05","1085","0","0"
"194","aventura","6.91223534778912e-05","1085","0","0"
"195","aventuras","5.5297882782313e-05","1085","0","0"
"196","aves","5.5297882782313e-05","1085","0","0"
"197","aviones","8.98590595212586e-05","1085","0","0"
"198","avión","5.5297882782313e-05","1085","0","0"
"199","ayer","0.00152069177651361","1085","2","2"
"200","ayuda","0.000345611767389456","1087","1","1"
"201","ayudar","8.98590595212586e-05","1088","0","0"
"202","ayudas","0.000131332471607993","1088","0","0"
"203","aznar","8.98590595212586e-05","1088","0","0"
"204","azul","0.000110595765564626","1088","0","0"
"205","azúcar","8.98590595212586e-05","1088","0","0"
"206","ano","0.0017764444843818","1088","3","3"
"207","anos","0.00378099273524065","1091","10","9"
"208","bailar","5.5297882782313e-05","1101","0","0"
"209","baile","0.000117508000912415","1101","0","0"
"210","baja","0.000324875061346089","1101","0","0"
"211","bajar","7.60345888256803e-05","1101","0","0"
"212","bajas","6.22101181301021e-05","1101","0","0"
"213","bajo","0.000145156942303572","1101","0","0"
"214","baloncesto","0.000145156942303572","1101","0","0"
"215","balón","7.60345888256803e-05","1101","0","0"
"216","banca","5.5297882782313e-05","1101","0","0"
"217","bancos","8.29468241734695e-05","1101","0","0"
"218","banda","0.00015898141299915","1101","0","0"
"219","bandas","6.91223534778912e-05","1101","0","0"
"220","bar","5.5297882782313e-05","1101","0","0"
"221","barack","5.5297882782313e-05","1101","0","0"
"222","barajas","8.98590595212586e-05","1101","0","0"
"223","barcelona","0.000746521417561225","1101","1","1"
"224","bares","8.29468241734695e-05","1102","0","0"
"225","barrio","8.98590595212586e-05","1102","0","0"
"226","barro","7.60345888256803e-05","1102","0","0"
"227","base","0.000165893648346939","1102","0","0"
"228","basket","0.000138244706955782","1102","0","0"
"229","basura","0.000165893648346939","1102","0","0"
"230","batalla","0.000103683530216837","1102","0","0"
"231","bano","0.000103683530216837","1102","0","0"
"232","banos","6.22101181301021e-05","1102","0","0"
"233","bcn","0.000117508000912415","1102","0","0"
