"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"1","List-Order",1000,0.160000000003492,16,0.149999999999999,0,NA,NA,1
"2","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,1
"3","List-TopXSort",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,1
"4","R5-Order",1000,1.19000000000233,119,1.11,0.0800000000000001,NA,NA,1
"5","R5-Rcpp-TopXSort",1000,2.29999999998836,230,2.3,0,NA,NA,1
"6","R5-TopXSort",1000,1.14999999999418,115,1.14,0.0200000000000014,NA,NA,1
"7","R6-Order",1000,0.25,25,0.25,0,NA,NA,1
"8","R6-Rcpp-TopXSort",1000,0.0399999999935972,4,0.0300000000000011,0,NA,NA,1
"9","R6-TopXSort",1000,0.260000000009313,26,0.260000000000002,0,NA,NA,1
"10","S3-Order",1000,0.239999999990687,24,0.240000000000002,0,NA,NA,1
"11","S3-Rcpp-TopXSort",1000,0.0800000000017462,8,0.0300000000000011,0.0399999999999991,NA,NA,1
"12","S3-TopXSort",1000,0.25,25,0.25,0.0199999999999996,NA,NA,1
"13","S4-Order",1000,0.150000000008731,15,0.150000000000002,0,NA,NA,1
"14","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.00999999999999801,0,NA,NA,1
"15","S4-TopXSort",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,1
"16","List-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,2
"17","List-Rcpp-TopXSort",1000,0.0399999999935972,4,0.0300000000000011,0,NA,NA,2
"18","List-TopXSort",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,2
"19","R5-Order",1000,1.10999999998603,111,1.11,0,NA,NA,2
"20","R5-Rcpp-TopXSort",1000,2.25,225,2.25,0,NA,NA,2
"21","R5-TopXSort",1000,1.16000000000349,116,1.16,0,NA,NA,2
"22","R6-Order",1000,0.25,25,0.25,0,NA,NA,2
"23","R6-Rcpp-TopXSort",1000,0.0500000000029104,5,0.0399999999999991,0,NA,NA,2
"24","R6-TopXSort",1000,0.260000000009313,26,0.269999999999996,0,NA,NA,2
"25","S3-Order",1000,0.210000000006403,21,0.219999999999999,0,NA,NA,2
"26","S3-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0100000000000016,0,NA,NA,2
"27","S3-TopXSort",1000,0.239999999990687,24,0.239999999999998,0,NA,NA,2
"28","S4-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,2
"29","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0100000000000016,0,NA,NA,2
"30","S4-TopXSort",1000,0.119999999995343,12,0.119999999999997,0,NA,NA,2
"31","List-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,3
"32","List-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0200000000000031,0,NA,NA,3
"33","List-TopXSort",1000,0.110000000000582,11,0.109999999999999,0,NA,NA,3
"34","R5-Order",1000,1.07000000000698,107,1.08,0,NA,NA,3
"35","R5-Rcpp-TopXSort",1000,2.44999999999709,245,2.46,0,NA,NA,3
"36","R5-TopXSort",1000,1.11000000000058,111,1.11000000000001,0,NA,NA,3
"37","R6-Order",1000,0.25,25,0.25,0,NA,NA,3
"38","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0399999999999991,0,NA,NA,3
"39","R6-TopXSort",1000,0.25,25,0.25,0,NA,NA,3
"40","S3-Order",1000,0.220000000001164,22,0.219999999999999,0,NA,NA,3
"41","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,3
"42","S3-TopXSort",1000,0.220000000001164,22,0.220000000000006,0,NA,NA,3
"43","S4-Order",1000,0.14000000001397,14,0.140000000000001,0,NA,NA,3
"44","S4-Rcpp-TopXSort",1000,0.0200000000040745,2,0.00999999999999801,0,NA,NA,3
"45","S4-TopXSort",1000,0.110000000000582,11,0.109999999999999,0,NA,NA,3
"46","List-Order",1000,0.14000000001397,7,0.140000000000001,0,NA,NA,4
"47","List-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,4
"48","List-TopXSort",1000,0.149999999994179,7.5,0.140000000000001,0,NA,NA,4
"49","R5-Order",1000,1.13000000000466,56.5,1.11,0.0199999999999996,NA,NA,4
"50","R5-Rcpp-TopXSort",1000,2.55000000000291,127.5,2.55,0,NA,NA,4
"51","R5-TopXSort",1000,1.19999999999709,60,1.2,0,NA,NA,4
"52","R6-Order",1000,0.270000000004075,13.5,0.269999999999996,0,NA,NA,4
"53","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,4
"54","R6-TopXSort",1000,0.309999999997672,15.5,0.32,0,NA,NA,4
"55","S3-Order",1000,0.240000000005239,12,0.240000000000002,0,NA,NA,4
"56","S3-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,4
"57","S3-TopXSort",1000,0.25,12.5,0.230000000000004,0,NA,NA,4
"58","S4-Order",1000,0.149999999994179,7.5,0.149999999999999,0,NA,NA,4
"59","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0200000000000031,0,NA,NA,4
"60","S4-TopXSort",1000,0.139999999999418,7,0.140000000000001,0,NA,NA,4
"61","List-Order",1000,0.139999999999418,14,0.140000000000001,0,NA,NA,5
"62","List-Rcpp-TopXSort",1000,0.0300000000133878,3,0.0300000000000011,0,NA,NA,5
"63","List-TopXSort",1000,0.160000000003492,16,0.159999999999997,0,NA,NA,5
"64","R5-Order",1000,1.16000000000349,116,1.16,0,NA,NA,5
"65","R5-Rcpp-TopXSort",1000,2.36000000000058,236,2.36,0,NA,NA,5
"66","R5-TopXSort",1000,1.19999999999709,120,1.2,0,NA,NA,5
