"","test","replications","elapsed","relative","user.self","sys.self","user.child","sys.child","round"
"1","List-Rcpp-TopXSort",1000,0.0300000000133878,3,0.0300000000000011,0,NA,NA,1
"2","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.039999999999992,0,NA,NA,1
"3","S3-Rcpp-TopXSort",1000,0.0100000000093132,1,0.0100000000000193,0,NA,NA,1
"4","S4-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,1
"5","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,2
"6","R6-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,2
"7","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,2
"8","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.00999999999999091,0,NA,NA,2
"9","List-Rcpp-TopXSort",1000,0.0399999999935972,2,0.039999999999992,0,NA,NA,3
"10","R6-Rcpp-TopXSort",1000,0.0399999999935972,2,0.039999999999992,0,NA,NA,3
"11","S3-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0199999999999818,0,NA,NA,3
"12","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.0199999999999818,0,NA,NA,3
"13","List-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,4
"14","R6-Rcpp-TopXSort",1000,0.0400000000081491,4,0.0300000000000011,0.0199999999999996,NA,NA,4
"15","S3-Rcpp-TopXSort",1000,0.0299999999988358,3,0.0300000000000011,0,NA,NA,4
"16","S4-Rcpp-TopXSort",1000,0.00999999999476131,1,0.0100000000000193,0,NA,NA,4
"17","List-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,5
"18","R6-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,5
"19","S3-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,5
"20","S4-Rcpp-TopXSort",1000,0.0299999999988358,1,0.039999999999992,0,NA,NA,5
"21","List-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,6
"22","R6-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.0300000000000011,0,NA,NA,6
"23","S3-Rcpp-TopXSort",1000,0.0300000000133878,1.5,0.0300000000000011,0,NA,NA,6
"24","S4-Rcpp-TopXSort",1000,0.0200000000040745,1,0.00999999999999091,0,NA,NA,6
"25","List-Rcpp-TopXSort",1000,0.0299999999988358,1.5,0.039999999999992,0,NA,NA,7
